line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
LI00051,T07021,P277,,4,18274.6
LI00052,T18712,P296,,2,3740.78
LI00053,T13339,P098,PR85,1,2821.76
LI00054,T13880,P211,,2,29564.82
LI00055,T03225,P032,,1,32796.7
LI00056,T03581,P128,,1,1805.67
LI00057,T04594,P217,,1,27627.01
LI00058,T02471,P227,,3,31566.9
LI00059,T03209,P026,,1,398.76
LI00060,T00484,P497,PR97,3,9573.06
LI00061,T05450,P209,,1,361.74
LI00062,T13142,P463,PR49,1,11520.22
LI00063,T12794,P136,,2,7732.94
LI00064,T09348,P217,,2,55254.02
LI00065,T18212,P339,,1,4912.26
LI00066,T09723,P112,,1,145.35
LI00067,T17767,P032,,1,32796.7
LI00068,T19143,P245,,3,17079.12
LI00069,T05159,P030,,1,255.25
LI00070,T06090,P036,,2,10813.46
LI00071,T07708,P207,,3,8433.54
LI00072,T08068,P297,,2,5541.48
LI00073,T13738,P337,,1,7740.71
LI00074,T08545,P105,,1,11183.61
LI00075,T08704,P203,,2,70451.28
LI00076,T14983,P162,,4,1088.36
LI00077,T00306,P235,,1,151.54
LI00078,T03277,P038,,1,1502.5
LI00079,T04341,P478,,1,2071.44
LI00080,T08005,P190,,1,34316.78
LI00081,T17801,P361,,5,3171.35
LI00082,T17333,P005,,1,24.79
LI00083,T03395,P481,,1,5367.76
LI00084,T03508,P381,,1,7996.34
LI00085,T19820,P108,,1,7190.44
LI00086,T08651,P259,,4,12856.92
LI00087,T01665,P048,,3,-5186.37
LI00088,T01445,P002,,1,22830.7
LI00089,T08584,P083,,1,10503.18
LI00090,T14015,P288,PR10,4,8630.56
LI00091,T04885,P280,PR48,1,14516.32
LI00092,T04853,P221,,1,678.82
LI00093,T01308,P461,,2,13845.68
LI00094,T03369,P182,,3,10860.45
LI00095,T13317,P499,,1,1002.59
LI00096,T07758,P443,,2,448.04
LI00097,T05802,P452,,1,4099.76
LI00098,T10886,P401,,3,28675.89
LI00099,T08132,P137,,2,4070.86
LI00100,T12536,P447,PR61,1,2426.28
LI00101,T15084,P180,,2,7616.88
LI00102,T07458,P115,PR25,1,2710.49
LI00103,T09130,P443,PR99,1,224.02
LI00104,T16693,P205,,3,620.37
LI00105,T10852,P481,PR34,1,5367.76
LI00106,T08699,P020,,1,10319.45
LI00107,T10279,P224,,1,711.13
LI00108,T12623,P461,,1,6922.84
LI00109,T14289,P001,,3,27456.36
LI00110,T06457,P187,,4,105946.16
LI00111,T10820,P320,,3,44929.74
LI00112,T09841,P260,,1,4147.64
LI00113,T13186,P357,,1,10398.15
LI00114,T13778,P341,,2,15394.44
LI00115,T05703,P316,,1,22963.06
LI00116,T00014,P156,,1,2868.77
LI00117,T19005,P311,,1,183.82
LI00118,T14489,P346,,1,74.84
LI00119,T05561,P338,PR66,2,22887.0
LI00120,T10984,P048,,2,-3457.58
LI00121,T10172,P116,,1,14834.99
LI00122,T01515,P126,,2,5394.36
LI00123,T02387,P234,,2,3819.5
LI00124,T06372,P368,,1,8349.18
LI00125,T07995,P076,,1,8021.47
LI00126,T03493,P399,,1,7611.78
LI00127,T16973,P238,PR32,4,19791.4
LI00128,T03977,P234,,1,1909.75
LI00129,T17405,P287,,4,85954.76
LI00130,T14503,P314,,3,2891.79
LI00131,T13984,P426,,1,6532.33
LI00132,T05216,P381,,1,7996.34
LI00133,T08102,P431,,2,269.48
LI00134,T17082,P249,,1,255.18
LI00135,T02539,P366,,1,2097.03
LI00136,T10477,P458,,1,48977.49
LI00137,T07578,P197,,2,22768.9
LI00138,T02105,P213,,1,3485.99
LI00139,T13625,P032,,1,32796.7
LI00140,T19140,P485,,3,6841.89
LI00141,T18865,P195,,4,1210.52
LI00142,T09785,P386,,3,19841.25
LI00143,T13731,P276,,1,4991.78
LI00144,T19768,P460,,1,6597.09
LI00145,T14282,P249,PR44,2,510.36
LI00146,T13249,P371,,1,5970.54
LI00147,T04183,P319,,4,26287.36
LI00148,T19396,P289,,1,27055.44
LI00149,T14045,P070,,1,5581.65
LI00150,T08525,P195,,1,302.63
LI00151,T11060,P390,,1,7693.41
LI00152,T13814,P130,,1,6932.63
LI00153,T17676,P027,,1,1977.07
LI00154,T02249,P400,,1,1174.83
LI00155,T01017,P487,,3,13497.6
LI00156,T04994,P123,,2,4909.02
LI00157,T18481,P486,,2,20861.04
LI00158,T12088,P086,,5,37485.65
LI00159,T03754,P399,,5,38058.9
LI00160,T03543,P297,PR40,1,2770.74
LI00161,T12299,P204,,1,5026.74
LI00162,T19402,P354,,1,10365.4
LI00163,T09883,P436,,3,10696.05
LI00164,T18545,P401,PR69,1,9558.63
LI00165,T12143,P036,,1,5406.73
LI00166,T13765,P422,,1,11543.98
LI00167,T11869,P326,,1,33545.34
LI00168,T05014,P223,,1,7460.02
LI00169,T08851,P316,,1,22963.06
LI00170,T15844,P239,,2,6245.34
LI00171,T08795,P166,,3,121337.46
LI00172,T02840,P143,,1,7910.04
LI00173,T15228,P292,,1,1640.02
LI00174,T00941,P254,,1,1547.48
LI00175,T06951,P182,,1,3620.15
LI00176,T19535,P360,,1,31845.97
LI00177,T16929,P486,,1,10430.52
LI00178,T13318,P251,,1,3966.87
LI00179,T15601,P331,,1,2522.0
LI00180,T00566,P048,,1,-1728.79
LI00181,T07973,P157,,1,1743.59
LI00182,T18137,P272,,5,54148.75
LI00183,T18036,P170,,1,14222.04
LI00184,T10048,P129,,2,21016.96
LI00185,T10340,P062,,4,8975.84
LI00186,T06067,P099,,1,10655.68
LI00187,T19320,P390,,1,7693.41
LI00188,T03295,P427,,1,10986.9
LI00189,T05880,P155,PR69,1,11191.16
LI00190,T01492,P499,PR38,2,2005.18
LI00191,T04138,P327,,1,214.05
LI00192,T00402,P294,,1,4640.19
LI00193,T11165,P095,,1,325.37
LI00194,T15655,P059,,1,92.74
LI00195,T02428,P296,,1,1870.39
LI00196,T04889,P416,,1,70.93
LI00197,T08133,P061,,1,2096.3
LI00198,T19534,P405,,2,16725.58
LI00199,T12465,P231,,1,34973.13
LI00200,T19285,P220,,2,2270.38
LI00201,T19977,P492,,4,550.36
LI00202,T06809,P321,,2,81505.38
LI00203,T05147,P123,,1,2454.51
LI00204,T00088,P210,,1,7050.44
LI00205,T09544,P017,,2,20643.96
LI00206,T14878,P037,,4,19481.72
LI00207,T19327,P339,,1,4912.26
LI00208,T03761,P279,,1,3199.23
LI00209,T08705,P424,,1,6852.74
LI00210,T10080,P305,,1,5453.63
LI00211,T09458,P225,,2,11779.1
LI00212,T13190,P483,,1,7190.26
LI00213,T14345,P042,,3,5462.46
LI00214,T10562,P310,,1,1994.24
LI00215,T18849,P301,,5,49845.65
LI00216,T08832,P296,PR97,1,1870.39
LI00217,T17006,P334,,1,1892.03
LI00218,T19181,P224,,1,711.13
LI00219,T02990,P241,,1,38862.61
LI00220,T03428,P440,,1,25713.08
LI00221,T16236,P148,,-1,-12653.82
LI00222,T18026,P019,,1,231.4
LI00223,T10594,P060,,1,10323.01
LI00224,T16863,P423,,2,13570.64
LI00225,T17780,P237,,1,218.47
LI00226,T11855,P319,,2,13143.68
LI00227,T01692,P105,,1,11183.61
LI00228,T09439,P225,,1,5889.55
LI00229,T00946,P499,,2,2005.18
LI00230,T05190,P160,,1,6189.8
LI00231,T03055,P116,,4,59339.96
LI00232,T15121,P485,,3,6841.89
LI00233,T16331,P478,,1,2071.44
LI00234,T08960,P213,,5,17429.95
LI00235,T07987,P234,,1,1909.75
LI00236,T19641,P261,,1,1216.39
LI00237,T02288,P142,,3,5408.31
LI00238,T11138,P479,,1,3400.26
LI00239,T00085,P145,,3,23989.41
LI00240,T19003,P338,,1,11443.5
LI00241,T17649,P248,,1,8672.61
LI00242,T17808,P194,,1,11702.14
LI00243,T06182,P358,,1,2499.38
LI00244,T13461,P023,,1,14512.44
LI00245,T12493,P198,,2,15979.46
LI00246,T04985,P254,,1,1547.48
LI00247,T19340,P170,,3,28444.08
LI00248,T14428,P052,,1,9372.44
LI00249,T04724,P210,,5,35252.2
LI00250,T02452,P241,,1,38862.61
LI00251,T13025,P333,PR43,3,2654.16
LI00252,T17486,P195,,2,605.26
LI00253,T15990,P447,,2,4852.56
LI00254,T07693,P324,,1,95.59
LI00255,T07455,P383,PR13,2,6509.78
LI00256,T03294,P228,,1,2989.04
LI00257,T00949,P024,,1,7390.18
LI00258,T11747,P192,,1,41766.17
LI00259,T13503,P290,,1,4136.46
LI00260,T05737,P041,,1,3883.93
LI00261,T07892,P255,,1,26038.87
LI00262,T15111,P327,,1,214.05
LI00263,T00308,P461,,4,27691.36
LI00264,T17911,P081,PR45,5,7197.1
LI00265,T09803,P328,,2,3595.94
LI00266,T14970,P433,,5,24612.1
LI00267,T15834,P055,,1,1785.05
LI00268,T18836,P152,,1,6866.51
LI00269,T12970,P141,PR88,2,10977.62
LI00270,T01608,P467,,1,1396.2
LI00271,T09379,P398,,2,67174.42
LI00272,T11545,P113,,2,666.06
LI00273,T04482,P322,PR81,2,13824.74
LI00274,T10124,P404,,1,333.26
LI00275,T04307,P047,,1,6196.16
LI00276,T13616,P090,,2,2945.98
LI00277,T11989,P272,,1,10829.75
LI00278,T05392,P132,,4,174536.84
LI00279,T09672,P383,,3,9764.67
LI00280,T15347,P494,PR97,5,8450.35
LI00281,T13023,P496,,1,115.53
LI00282,T02960,P405,,1,8362.79
LI00283,T04050,P233,,2,11256.88
LI00284,T08591,P300,,2,76769.0
LI00285,T12173,P056,,1,185.4
LI00286,T18397,P168,,1,47.84
LI00287,T02072,P326,,4,134181.36
LI00288,T09903,P333,,1,884.72
LI00289,T01220,P156,,1,2868.77
LI00290,T07694,P455,,1,140.97
LI00291,T12158,P344,,2,70311.8
LI00292,T17702,P215,,2,7266.88
LI00293,T13595,P336,PR63,2,10308.72
LI00294,T09167,P017,,1,10321.98
LI00295,T14572,P487,,1,4499.2
LI00296,T12037,P279,,2,6398.46
LI00297,T01985,P204,,5,25133.7
LI00298,T14901,P047,,2,12392.32
LI00299,T19568,P498,PR43,1,8199.11
LI00300,T04127,P403,,1,3861.73
LI00301,T18161,P107,,3,19095.51
LI00302,T07635,P169,,2,363.9
LI00303,T19530,P002,,5,114153.5
LI00304,T04260,P277,,1,4568.65
LI00305,T00845,P068,PR31,1,260.38
LI00306,T00518,P090,,1,1472.99
LI00307,T13795,P270,,1,151.48
LI00308,T14690,P399,,1,7611.78
LI00309,T14812,P258,,2,99412.36
LI00310,T17087,P155,,5,55955.8
LI00311,T01994,P246,,1,8300.93
LI00312,T03538,P252,,1,3130.86
LI00313,T02648,P165,,1,44638.15
LI00314,T09012,P320,,1,14976.58
LI00315,T10656,P196,,1,4993.9
LI00316,T14868,P259,,1,3214.23
LI00317,T03750,P437,,3,10080.78
LI00318,T18067,P370,,1,7154.23
LI00319,T07488,P212,,1,8753.12
LI00320,T13632,P374,PR55,1,32237.48
LI00321,T08353,P192,,2,83532.34
LI00322,T15541,P035,PR11,1,3048.28
LI00323,T03165,P382,,3,214.65
LI00324,T18232,P031,,1,5037.57
LI00325,T10802,P344,,1,35155.9
LI00326,T13859,P445,,1,13518.95
LI00327,T09426,P308,,1,135.99
LI00328,T16627,P109,,1,4795.65
LI00329,T03547,P180,,1,3808.44
LI00330,T09129,P294,,1,4640.19
LI00331,T18382,P499,,2,2005.18
LI00332,T18244,P014,,2,68745.52
LI00333,T08764,P015,,2,6758.92
LI00334,T10125,P472,,1,11713.75
LI00335,T04695,P290,,1,4136.46
LI00336,T01005,P047,,1,6196.16
LI00337,T13758,P233,,1,5628.44
LI00338,T10630,P398,,1,33587.21
LI00339,T01724,P080,,2,5440.06
LI00340,T02674,P140,,1,10854.95
LI00341,T19893,P227,,1,10522.3
LI00342,T16789,P059,,1,92.74
LI00343,T19436,P250,,1,46.99
LI00344,T07226,P203,,1,35225.64
LI00345,T06699,P155,,2,22382.32
LI00346,T08373,P149,,1,144.66
LI00347,T14112,P090,,1,1472.99
LI00348,T07541,P257,,2,1655.84
LI00349,T11606,P037,,2,9740.86
LI00350,T14295,P010,,1,11482.46
LI00351,T10259,P295,,1,121.21
LI00352,T13687,P149,,1,144.66
LI00353,T10643,P088,,2,92201.84
LI00354,T11858,P046,,1,41040.81
LI00355,T14277,P302,,1,9179.78
LI00356,T10168,P382,,1,71.55
LI00357,T05510,P040,,1,11526.5
LI00358,T16711,P100,,1,2700.03
LI00359,T04840,P121,,1,405.52
LI00360,T05686,P309,,2,8224.44
LI00361,T02470,P091,,2,42180.22
LI00362,T15203,P387,,1,248.8
LI00363,T18498,P330,,2,186.92
LI00364,T10360,P078,,1,134.94
LI00365,T09923,P408,,1,14878.62
LI00366,T16625,P038,,1,1502.5
LI00367,T01865,P189,,1,69.36
LI00368,T02959,P315,,1,3632.35
LI00369,T19017,P284,,2,6785.72
LI00370,T01345,P231,,1,34973.13
LI00371,T06169,P165,,1,44638.15
LI00372,T02028,P231,,3,104919.39
LI00373,T11254,P366,PR83,1,2097.03
LI00374,T08119,P363,,1,30070.91
LI00375,T17130,P313,,1,8528.59
LI00376,T09270,P199,,1,5162.05
LI00377,T19592,P027,,2,3954.14
LI00378,T02160,P169,PR87,1,181.95
LI00379,T08258,P371,,5,29852.7
LI00380,T19750,P448,,1,32481.72
LI00381,T04635,P470,,5,48818.65
LI00382,T12844,P067,,4,11422.16
LI00383,T10145,P287,,2,42977.38
LI00384,T04188,P344,,4,140623.6
LI00385,T17249,P048,,1,-1728.79
LI00386,T11857,P010,,1,11482.46
LI00387,T07019,P175,,1,13531.59
LI00388,T07424,P071,,1,8189.43
LI00389,T03315,P260,,3,12442.92
LI00390,T17254,P020,,3,30958.35
LI00391,T04295,P306,,1,4573.85
LI00392,T05425,P370,,1,7154.23
LI00393,T07784,P497,,1,3191.02
LI00394,T14711,P120,,1,7405.73
LI00395,T15369,P463,,1,11520.22
LI00396,T18692,P226,,1,20565.33
LI00397,T12514,P258,,5,248530.9
LI00398,T06544,P411,,3,624.99
LI00399,T01710,P329,,1,3940.93
LI00400,T03362,P365,,3,6611.64
LI00401,T09341,P043,,1,3988.93
LI00402,T16822,P076,,1,8021.47
LI00403,T07276,P419,,1,49.74
LI00404,T00874,P213,PR65,1,3485.99
LI00405,T12654,P042,,1,1820.82
LI00406,T03247,P430,,1,2334.51
LI00407,T04786,P071,PR61,2,16378.86
LI00408,T04548,P389,,1,46.49
LI00409,T00173,P464,PR33,1,10855.71
LI00410,T04900,P281,,2,8770.44
LI00411,T13870,P057,,1,4716.64
LI00412,T03993,P025,,2,68100.28
LI00413,T14979,P033,,4,79645.16
LI00414,T19554,P275,PR66,1,38074.48
LI00415,T04705,P150,,2,2099.44
LI00416,T07883,P293,,2,84623.36
LI00417,T02806,P269,,1,4512.79
LI00418,T17238,P279,,5,15996.15
LI00419,T18159,P011,,1,16639.82
LI00420,T12678,P192,,1,41766.17
LI00421,T02214,P177,,2,237.98
LI00422,T03397,P396,,2,89.54
LI00423,T04372,P023,,1,14512.44
LI00424,T05738,P426,,1,6532.33
LI00425,T15681,P324,,1,95.59
LI00426,T14998,P019,,1,231.4
LI00427,T06537,P454,PR40,1,6005.66
LI00428,T17795,P243,,2,82820.26
LI00429,T06263,P147,,2,14986.68
LI00430,T10877,P140,,1,10854.95
LI00431,T13108,P381,,4,31985.36
LI00432,T11110,P499,,2,2005.18
LI00433,T12038,P474,,1,1972.23
LI00434,T02708,P373,,1,7102.25
LI00435,T05914,P280,,1,14516.32
LI00436,T10746,P339,,1,4912.26
LI00437,T13963,P086,,1,7497.13
LI00438,T01388,P373,,1,7102.25
LI00439,T14253,P141,,2,10977.62
LI00440,T01880,P039,,1,1738.82
LI00441,T16813,P411,,1,208.33
LI00442,T01021,P074,,2,76929.82
LI00443,T14359,P018,,1,8436.17
LI00444,T12004,P186,,1,1514.4
LI00445,T19828,P079,,4,475.6
LI00446,T12191,P228,,1,2989.04
LI00447,T17350,P188,,2,539.18
LI00448,T08180,P492,,2,275.18
LI00449,T16353,P266,,1,1501.28
LI00450,T08578,P397,,1,2358.0
LI00451,T09358,P356,,1,2486.26
LI00452,T04019,P070,,1,5581.65
LI00453,T14586,P045,,5,8594.95
LI00454,T10473,P342,,1,305.17
LI00455,T17766,P149,,3,433.98
LI00456,T05705,P407,,1,1465.45
LI00457,T06586,P406,,2,18854.92
LI00458,T00862,P185,,1,3674.92
LI00459,T18077,P067,,1,2855.54
LI00460,T10135,P204,,2,10053.48
LI00461,T17226,P211,,3,44347.23
LI00462,T02417,P065,,2,145.2
LI00463,T14745,P239,,1,3122.67
LI00464,T18066,P328,,2,3595.94
LI00465,T04229,P222,,3,5850.18
LI00466,T04069,P266,,1,1501.28
LI00467,T10573,P479,,1,3400.26
LI00468,T17004,P459,,1,3612.53
LI00469,T06433,P326,,1,33545.34
LI00470,T09923,P315,,1,3632.35
LI00471,T05526,P304,,1,9194.72
LI00472,T19830,P173,,1,3925.97
LI00473,T00930,P042,PR83,2,3641.64
LI00474,T08673,P334,,1,1892.03
LI00475,T00993,P255,,1,26038.87
LI00476,T09900,P248,,3,26017.83
LI00477,T13307,P153,,2,14266.16
LI00478,T05180,P226,,1,20565.33
LI00479,T11148,P311,,3,551.46
LI00480,T10464,P376,,1,315.48
LI00481,T13066,P067,,1,2855.54
LI00482,T03480,P164,,1,7587.98
LI00483,T14733,P127,,1,4191.78
LI00484,T12588,P443,,1,112.01
LI00485,T05234,P417,,1,14435.33
LI00486,T10248,P098,,1,2821.76
LI00487,T16867,P240,,1,45.57
LI00488,T00760,P047,,1,6196.16
LI00489,T07889,P111,,1,5315.16
LI00490,T09220,P254,,3,4642.44
LI00491,T15421,P147,,3,22480.02
LI00492,T14121,P069,,2,14130.1
LI00493,T13214,P188,PR07,1,269.59
LI00494,T06379,P186,,-1,-1514.4
LI00495,T16524,P231,,1,34973.13
LI00496,T03894,P066,,1,6032.79
LI00497,T11112,P286,,2,587.96
LI00498,T06523,P309,,1,4112.22
LI00499,T01485,P020,,1,10319.45
LI00500,T15524,P266,,2,3002.56
LI00501,T16893,P072,,2,19266.92
LI00502,T05325,P202,,2,34534.16
LI00503,T09806,P304,,3,18389.43
LI00504,T17444,P251,,1,3966.87
LI00505,T00546,P189,,1,69.36
LI00506,T13650,P299,,3,9727.29
LI00507,T00874,P306,,5,22869.25
LI00508,T18956,P296,,1,1870.39
LI00509,T15744,P088,,2,92201.84
LI00510,T12459,P076,,1,8021.47
LI00511,T18762,P486,,1,10430.52
LI00512,T14452,P161,,1,5566.25
LI00513,T06682,P211,,2,29564.82
LI00514,T15454,P447,,2,4852.56
LI00515,T04525,P266,,1,1501.28
LI00516,T15676,P270,,4,908.88
LI00517,T15063,P468,,1,4592.19
LI00518,T08663,P313,,4,34114.36
LI00519,T09143,P286,,4,1175.92
LI00520,T09753,P395,,1,228.82
LI00521,T16024,P163,,1,4612.15
LI00522,T08961,P148,,2,25307.64
LI00523,T12442,P459,,3,10837.59
LI00524,T04800,P149,PR92,1,144.66
LI00525,T14496,P336,,1,5154.36
LI00526,T06622,P424,,4,27410.96
LI00527,T08901,P071,,2,16378.86
LI00528,T07841,P125,PR68,1,27380.09
LI00529,T07630,P027,,1,1977.07
LI00530,T15480,P052,,1,9372.44
LI00531,T18034,P476,,2,9501.46
LI00532,T15588,P245,,2,11386.08
LI00533,T09413,P165,,1,44638.15
LI00534,T02932,P334,,1,1892.03
LI00535,T01223,P468,,1,4592.19
LI00536,T05761,P479,,5,17001.3
LI00537,T13009,P404,,4,1333.04
LI00538,T09486,P449,PR39,1,4584.32
LI00539,T03517,P476,,1,4750.73
LI00540,T17803,P269,,4,18051.16
LI00541,T16523,P240,,3,136.71
LI00542,T10836,P084,,2,477.72
LI00543,T06102,P008,,2,82272.86
LI00544,T18606,P346,,1,74.84
LI00545,T13288,P424,,1,6852.74
LI00546,T13135,P343,PR18,1,2672.58
LI00547,T08129,P004,,1,258.89
LI00548,T08749,P489,,1,6287.96
LI00549,T18773,P006,,1,288.27
LI00550,T07744,P032,,1,32796.7
LI00551,T05234,P208,,4,13713.88
LI00552,T10191,P354,,4,41461.6
LI00553,T09668,P189,,1,69.36
LI00554,T04377,P245,,2,11386.08
LI00555,T19849,P192,,1,41766.17
LI00556,T15429,P388,,2,4425.32
LI00557,T07157,P391,,2,28609.62
LI00558,T02683,P270,,2,302.96
LI00559,T02560,P470,,1,9763.73
LI00560,T17946,P463,,1,11520.22
LI00561,T04911,P085,,1,16586.65
LI00562,T03809,P349,,1,8339.56
LI00563,T02980,P461,,3,20768.52
LI00564,T14859,P068,,1,260.38
LI00565,T01892,P287,,3,64466.07
LI00566,T00714,P203,,1,35225.64
LI00567,T07141,P297,PR55,1,2770.74
LI00568,T02090,P278,,4,124011.4
LI00569,T02262,P479,,1,3400.26
LI00570,T05898,P394,,2,734.76
LI00571,T13775,P192,,1,41766.17
LI00572,T12370,P193,PR85,3,564.3
LI00573,T04358,P335,,1,7292.28
LI00574,T17605,P202,,2,34534.16
LI00575,T07298,P428,PR03,5,190784.5
LI00576,T15172,P345,,1,44848.33
LI00577,T12429,P422,,1,11543.98
LI00578,T05084,P142,,3,5408.31
LI00579,T03698,P017,,1,10321.98
LI00580,T00513,P124,,1,11236.13
LI00581,T01101,P229,,2,10960.24
LI00582,T01596,P126,,1,2697.18
LI00583,T07679,P277,,3,13705.95
LI00584,T01850,P072,,1,9633.46
LI00585,T18878,P164,,2,15175.96
LI00586,T10508,P122,,1,3563.49
LI00587,T17081,P114,,1,2908.56
LI00588,T18243,P486,,2,20861.04
LI00589,T05739,P321,,1,40752.69
LI00590,T01537,P498,,2,16398.22
LI00591,T12490,P403,,2,7723.46
LI00592,T13378,P077,,1,3314.66
LI00593,T17627,P243,,1,41410.13
LI00594,T04731,P413,,1,1370.79
LI00595,T13523,P496,,1,115.53
LI00596,T12728,P125,,1,27380.09
LI00597,T02591,P473,,1,10932.91
LI00598,T17552,P371,,1,5970.54
LI00599,T12360,P345,,1,44848.33
LI00600,T02385,P097,,1,4281.12
LI00601,T18313,P112,,3,436.05
LI00602,T10911,P156,,1,2868.77
LI00603,T06227,P493,,2,7673.06
LI00604,T15694,P469,,2,9507.9
LI00605,T06702,P204,,1,5026.74
LI00606,T09276,P195,,2,605.26
LI00607,T10107,P134,,3,22273.86
LI00608,T15271,P051,,2,608.36
LI00609,T10494,P469,,1,4753.95
LI00610,T01499,P289,,2,54110.88
LI00611,T00532,P134,,1,7424.62
LI00612,T13684,P152,,1,6866.51
LI00613,T12447,P292,,1,1640.02
LI00614,T11062,P132,,1,43634.21
LI00615,T16076,P236,,2,3353.54
LI00616,T05547,P072,,1,9633.46
LI00617,T17765,P329,,1,3940.93
LI00618,T02436,P484,,1,334.66
LI00619,T00210,P212,,2,17506.24
LI00620,T02228,P363,,1,30070.91
LI00621,T14943,P192,PR82,2,83532.34
LI00622,T15834,P338,,1,11443.5
LI00623,T18077,P211,PR68,2,29564.82
LI00624,T17556,P147,PR90,2,14986.68
LI00625,T05875,P055,,1,3570.1
LI00626,T07897,P099,,1,10655.68
LI00627,T11615,P137,,1,2035.43
LI00628,T13305,P236,,5,8383.85
LI00629,T07401,P154,,3,31700.37
LI00630,T01039,P048,,1,-1728.79
LI00631,T15598,P029,,2,180.22
LI00632,T02710,P256,,2,205.88
LI00633,T10856,P290,,5,103411.5
LI00634,T17307,P471,PR28,4,6033.12
LI00635,T18573,P244,,4,120762.52
LI00636,T09188,P461,,2,13845.68
LI00637,T05878,P476,,1,4750.73
LI00638,T06789,P301,,3,29907.39
LI00639,T13052,P476,PR21,1,4750.73
LI00640,T18570,P428,,2,76313.8
LI00641,T17714,P170,,2,18962.72
LI00642,T02570,P257,,1,827.92
LI00643,T03201,P224,,1,711.13
LI00644,T19831,P394,,1,367.38
LI00645,T10695,P016,,2,4269.5
LI00646,T14764,P252,,1,3130.86
LI00647,T12302,P222,,1,1950.06
LI00648,T12455,P044,,1,49462.32
LI00649,T08076,P366,PR35,1,2097.03
LI00650,T05056,P379,,1,1968.96
LI00651,T02999,P003,,1,44831.01
LI00652,T08840,P053,,1,31394.22
LI00653,T14708,P286,,1,293.98
LI00654,T00861,P046,,1,41040.81
LI00655,T19597,P402,,1,11091.6
LI00656,T09564,P212,,1,8753.12
LI00657,T18335,P464,,1,10855.71
LI00658,T17076,P087,,1,34580.96
LI00659,T08812,P155,,1,11191.16
LI00660,T05480,P223,,1,7460.02
LI00661,T02521,P185,,1,3674.92
LI00662,T16247,P305,,1,5453.63
LI00663,T04440,P156,PR51,1,2868.77
LI00664,T12449,P412,,1,1633.12
LI00665,T14111,P418,,2,14832.06
LI00666,T19478,P070,,2,11163.3
LI00667,T06582,P246,,5,41504.65
LI00668,T10458,P150,,2,2099.44
LI00669,T18871,P401,,1,9558.63
LI00670,T12876,P187,,1,26486.54
LI00671,T19407,P280,,2,29032.64
LI00672,T00882,P488,,4,31499.6
LI00673,T06870,P225,,3,17668.65
LI00674,T02267,P420,,2,-3418.8
LI00675,T16362,P072,,1,9633.46
LI00676,T05051,P367,,1,222.77
LI00677,T14716,P307,,1,2105.14
LI00678,T16601,P473,,2,21865.82
LI00679,T17815,P019,,1,231.4
LI00680,T17594,P305,,1,5453.63
LI00681,T08135,P337,,1,7740.71
LI00682,T01452,P289,,2,54110.88
LI00683,T13095,P496,,5,577.65
LI00684,T14106,P055,PR34,1,3570.1
LI00685,T17000,P286,,1,293.98
LI00686,T14608,P192,,2,83532.34
LI00687,T19287,P354,,1,10365.4
LI00688,T00805,P248,,-1,-8672.61
LI00689,T02814,P060,,2,20646.02
LI00690,T11415,P160,,2,12379.6
LI00691,T17076,P248,,1,8672.61
LI00692,T14826,P164,PR06,3,22763.94
